30|3|35|1
1|3|155|1
101|3|107|1
43|3|44|1
80|3|81|1
173|9|164|16
18|9|22|16
118|9|121|16
128|9|112|16
152|21|143|22
154|21|150|22
153|21|149|22
136|21|148|22
21|21|24|22
57|18|53|13
103|18|73|13
25|18|19|13
26|18|20|13
100|18|71|13
163|26|21|4
159|26|13|4
156|26|6|4
160|26|14|4
161|26|15|4
60|3|61|8
77|3|78|8
69|3|70|8
2|3|4|8
27|3|28|8
127|19|174|28
130|19|175|28
93|19|94|28
102|19|106|28
65|19|46|28
125|19|143|22
112|19|139|22
11|3|15|7
36|3|39|7
82|3|87|7
108|3|109|7
134|3|137|7
172|27|162|26
169|27|160|26
168|27|158|26
170|27|161|26
165|27|157|26
