1|35
1|155
1|107
1|44
1|81
3|30
3|1
3|101
3|43
3|80
3|60
3|77
3|69
3|2
3|27
3|11
3|36
3|82
3|108
3|134
4|14
4|21
4|13
4|6
4|15
7|15
7|39
7|87
7|109
7|137
8|61
8|78
8|70
8|4
8|28
9|173
9|18
9|59
9|118
9|128
10|56
10|47
10|51
10|50
10|52
13|53
13|73
13|19
13|20
13|71
16|56
16|136
16|164
16|22   
16|121
16|112
18|57
18|103
18|25
18|26
18|100
19|127
19|113
19|66
19|32
19|124
19|125
19|112
19|130
19|93
19|102
19|65
21|152
21|154
21|153
21|136
21|21
22|143
22|150
22|149
22|24
22|151
22|138
22|139
26|162
26|160
26|158
26|161
26|157
26|163
26|159
26|156
27|172
27|169
27|168
27|170
27|165
28|174
28|175
28|94
28|106
28|46
